Ticker,Sector,Industry,Title,Cap
TTLK,Telecommunications Services,Integrated Telecommunications Services,TATTELECOM,4.58B
TUCH,Basic Materials,Construction Materials,TUCHKOVSKIY COMPL,191.33M
TUZA,Industrials,Heavy Machinery & Vehicles,TUIMAZINSKIY ZAVOD,739.8M
UKUZ,Energy,Coal,SOUTHERN KUZBASS C,21.38B
UNAC,Industrials,Aerospace & Defense,UNITED AIRCRAFT CO,334.92B
UNKL,Basic Materials,Specialty Mining & Metals,SOUTHERN URALS NIC,1.51B
UPRO,Utilities,Electric Utilities,UNIPRO,165.12B
URKA,Basic Materials,Agricultural Chemicals,URALKALI,112.43B
URKZ,Basic Materials,Steel,URALS STAMPINGS,4.62B
USBN,Financials,Banks,BANK URALSIB,24.74B
UTAR,Industrials,Airlines,UTAIR AVIATION,26.53B
VDSB,Utilities,Electric Utilities,VLADIMIR POWER SAL,281.15M
VGSB,Utilities,Electric Utilities,VOLGOGRADENERGOSBY,654.53M
VJGZ,Energy,Oil & Gas Exploration and Production,VARYOGANNEFTEGAZ P,13.21B
VLHZ,Basic Materials,Commodity Chemicals,VLADIMIR CHEMICAL,5.58B
VRSB,Utilities,Electric Utilities,TNS ENERGO VORONEZ,2.19B
VSMO,Basic Materials,Specialty Mining & Metals,VSMPO-AVISMA CORPO,197.29B
VSYD,Industrials,Shipbuilding,VYBORG SHIPYARD P,3.49B
VTBR,Financials,Banks,VTB,229.43M
VZRZ,Financials,Banks,VOZROZHDENIE BANK,11.68B
VZRZP,Financials,Banks,VOZROZHDENIE BANK,11.43B
WTCM,Financials,Real Estate Development & Operations,WORLD TRADE CENTER,6.99B
YAKG,Energy,Oil & Gas Exploration and Production,YAKUTSK FUEL & ENE,6.18B
YKEN,Utilities,Electric Utilities,YAKUTSKENERGO,2.44B
YKENP,Utilities,Electric Utilities,YAKUTSKENERGO,2.4B
YRSB,Utilities,Electric Utilities,TNS ENERGO YAROSAV,3.19B
ZILL,Industrials,Heavy Machinery & Vehicles,LIKHACHOV PLANT PJ,2.57B
ZVEZ,Industrials,Heavy Electrical Equipment,ZVEZDA,2.67B
YNDX,Technology,Internet Services,Yandex,790.22B
